 KRND  37.3830   23.1502
 ACOR  37.8902   22.8692
 LOUT  37.9878   22.9743
 VILL  38.1642   23.3122
 THAL  38.0357   22.6633
 VIL2  38.2118   23.2680
 KARY  38.0322   24.4370
 EREA  38.4198   23.9318
 SGD   39.6120   20.2340
 IMMV  35.4607   23.9812
 SERG  38.4133   22.0567
 VVK   38.4222   21.8117
 PENT  40.1958   21.1383
 ANX   38.5933   21.9208
 ALIK  38.2605   22.1113
 DIMT  38.2468   22.0437
 PSAR  38.3320   22.1752
 ROD3  38.3082   21.8920
 PYRG  38.4102   22.0168
 PROD  38.2588   22.9007
 TRIP  37.5278   22.2708
 CMBO  36.4708   25.4057
 NPS   35.2613   25.6103
 AXS   38.1962   21.3763
 AIOA  38.1938   22.0587
 RODI  38.3228   21.8972
 AGEO  38.2648   22.0635
 PANR  38.3735   22.2497
 KPRO  39.9550   21.3632
 TEME  38.2317   22.1182
 LRSO  39.6713   22.3917
 KTI   40.3928   22.1165
 SMTH  40.4708   25.5305
 SCTE  40.0723   18.4675
 TRAZ  38.1685   22.2122
 MHLA  36.7450   24.4218
 MES3  37.2487   21.6725
 MES2  36.8245   21.7070
 DION  38.0778   23.9332
 SAP3  36.4357   25.3453
 IOSP  36.7233   25.2890
 YDRA  37.3495   23.4652
 MNVA  36.6870   23.0373
 DLFA  38.4783   22.4957
 EPID  37.6143   23.1188
 FSK   38.4593   20.5623
 TNSA  37.5395   25.1630
 MGNA  38.6560   20.7912
 AGRP  38.3958   21.7228
 KTHR  36.2447   22.9938
 ALNA  39.1477   23.8667
 PSRA  38.5418   25.5637
 EVGI  38.6210   20.6560
 THAS  40.6063   24.7193
 TSLK  38.8248   20.6553
 KASA  39.7462   19.9353
 MALA  38.3933   21.8727
 MG00  38.4145   21.9467
 HELI  38.2157   22.1238
 KTHA  36.2567   23.0622
 VLMS  37.8767   20.6628
 AMGA  36.8317   25.8938
 KLMT  37.0613   22.0597
 RODP  35.5603   23.7577
 CHAN  35.5193   24.0428
 KEF4  38.2580   20.4243
 KEF3  38.2227   20.3798
 KYMI  38.6332   24.1002
 SAP4  36.4733   25.3723
 HRKL  35.3115   25.1017
 TMBK  35.0723   24.7662
 KSTL  35.2092   25.3373
 KNDR  35.2348   23.6248
 KEF5  38.2778   20.4683
 SAP1  36.3578   25.3957
 SAP2  36.4108   25.4457
 THR5  36.4172   25.3478
 STAX  36.3993   25.4045
 THR3  36.4092   25.4008
 THR6  36.3562   25.3975
 DMLN  38.2385   20.3733
 NYDR  38.7135   20.6983
 PRNS  35.3445   24.4267
 LTHK  37.7095   20.8367
 PSAM  38.3218   22.1843
 PSDA  38.1140   20.5842
 DRAG  38.6838   20.5747
 THR9  36.3577   25.3568
 THT2  36.4363   25.4252
 THR2  36.4468   25.4353
 THR8  36.4070   25.4788
 SNT5  36.4037   25.3953
 IACM  35.3058   25.0708
 SMG   37.7042   26.8377
 SIVA  35.0178   24.8120
 NISR  36.6107   27.1308
 NIS1  36.6023   27.1782
 GVDS  34.8388   24.0585
 FRMA  35.0187   25.8555
 KARP  35.5472   27.1610
